UNIT,YEAR,SEX,RACE,AGE,ESTIMATE
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,45-64 years,9.6
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,45-64 years,10.4
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,45-64 years,11.3
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,45-64 years,18.9
"Deaths per 100,000 resident population, crude",1950,Male,Black or African American,65 years and over,9
"Deaths per 100,000 resident population, crude",1960,Male,Black or African American,65 years and over,9.9
"Deaths per 100,000 resident population, crude",1970,Male,Black or African American,65 years and over,8.7
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,65 years and over,11.4
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,65 years and over,12.2
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,65 years and over,12.3
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,65 years and over,14.4
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,65 years and over,14.4
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,65 years and over,15.8
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,65 years and over,17
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,65 years and over,19.3
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,65 years and over,14.9
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,65 years and over,16.9
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,65 years and over,14.9
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,65 years and over,16.4
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,65 years and over,14.2
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,65 years and over,13.3
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,65 years and over,15.6
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,65 years and over,14.6
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,65 years and over,12.9
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,65 years and over,14
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,65 years and over,12
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,65 years and over,12.6
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,65 years and over,11.5
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,65 years and over,11.5
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,65 years and over,11.7
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,65 years and over,9.2
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,65 years and over,11.3
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,65 years and over,10.2
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,65 years and over,10.3
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,65 years and over,8.5
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,65 years and over,10.8
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,65 years and over,9.6
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,65 years and over,8.3
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,65 years and over,9.4
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,65 years and over,9.6
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,65 years and over,8.4
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,65 years and over,8.9
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,65 years and over,8.6
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,65 years and over,8.7
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,65 years and over,8.7
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,65 years and over,8.7
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,65 years and over,12.6
"Deaths per 100,000 resident population, crude",1950,Male,Black or African American,65-74 years,10
"Deaths per 100,000 resident population, crude",1960,Male,Black or African American,65-74 years,11.3
"Deaths per 100,000 resident population, crude",1970,Male,Black or African American,65-74 years,8.7
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,65-74 years,11.1
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,65-74 years,9.6
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,65-74 years,12
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,65-74 years,14
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,65-74 years,14.4
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,65-74 years,16.7
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,65-74 years,17.3
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,65-74 years,19.1
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,65-74 years,14.1
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,65-74 years,17.1
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,65-74 years,14.7
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,65-74 years,13.9
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,65-74 years,11.9
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,65-74 years,11.9
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,65-74 years,15.3
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,65-74 years,13.8
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,65-74 years,13.1
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,65-74 years,13.3
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,65-74 years,11.9
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,65-74 years,11.8
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,65-74 years,11.1
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,65-74 years,10.6
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,65-74 years,9.5
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,65-74 years,8.1
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,65-74 years,9.5
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,65-74 years,8.1
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,65-74 years,8.4
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,65-74 years,7.9
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,65-74 years,10.4
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,65-74 years,8
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,65-74 years,7.6
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,65-74 years,9.1
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,65-74 years,8.4
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,65-74 years,7.8
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,65-74 years,7.7
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,65-74 years,7.3
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,65-74 years,8
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,65-74 years,8.6
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,65-74 years,7.7
"Deaths per 100,000 resident population, crude",1980,Male,Black or African American,75-84 years,10.5
"Deaths per 100,000 resident population, crude",1981,Male,Black or African American,75-84 years,18.3
"Deaths per 100,000 resident population, crude",1982,Male,Black or African American,75-84 years,12.4
"Deaths per 100,000 resident population, crude",1983,Male,Black or African American,75-84 years,15.8
"Deaths per 100,000 resident population, crude",1984,Male,Black or African American,75-84 years,15.1
"Deaths per 100,000 resident population, crude",1985,Male,Black or African American,75-84 years,15.6
"Deaths per 100,000 resident population, crude",1986,Male,Black or African American,75-84 years,16
"Deaths per 100,000 resident population, crude",1987,Male,Black or African American,75-84 years,21
"Deaths per 100,000 resident population, crude",1988,Male,Black or African American,75-84 years,17.7
"Deaths per 100,000 resident population, crude",1989,Male,Black or African American,75-84 years,14.9
"Deaths per 100,000 resident population, crude",1990,Male,Black or African American,75-84 years,14.4
"Deaths per 100,000 resident population, crude",1991,Male,Black or African American,75-84 years,21.8
"Deaths per 100,000 resident population, crude",1992,Male,Black or African American,75-84 years,18.7
"Deaths per 100,000 resident population, crude",1993,Male,Black or African American,75-84 years,16.4
"Deaths per 100,000 resident population, crude",1994,Male,Black or African American,75-84 years,15.1
"Deaths per 100,000 resident population, crude",1995,Male,Black or African American,75-84 years,16.7
"Deaths per 100,000 resident population, crude",1996,Male,Black or African American,75-84 years,12.7
"Deaths per 100,000 resident population, crude",1997,Male,Black or African American,75-84 years,14.3
"Deaths per 100,000 resident population, crude",1998,Male,Black or African American,75-84 years,12.8
"Deaths per 100,000 resident population, crude",1999,Male,Black or African American,75-84 years,13.8
"Deaths per 100,000 resident population, crude",2000,Male,Black or African American,75-84 years,12.1
"Deaths per 100,000 resident population, crude",2001,Male,Black or African American,75-84 years,13.5
"Deaths per 100,000 resident population, crude",2002,Male,Black or African American,75-84 years,13.8
"Deaths per 100,000 resident population, crude",2003,Male,Black or African American,75-84 years,11.3
"Deaths per 100,000 resident population, crude",2004,Male,Black or African American,75-84 years,15.1
"Deaths per 100,000 resident population, crude",2005,Male,Black or African American,75-84 years,12.9
"Deaths per 100,000 resident population, crude",2006,Male,Black or African American,75-84 years,11.6
"Deaths per 100,000 resident population, crude",2007,Male,Black or African American,75-84 years,11.2
"Deaths per 100,000 resident population, crude",2008,Male,Black or African American,75-84 years,11.8
"Deaths per 100,000 resident population, crude",2009,Male,Black or African American,75-84 years,11.9
"Deaths per 100,000 resident population, crude",2010,Male,Black or African American,75-84 years,9.9
"Deaths per 100,000 resident population, crude",2011,Male,Black or African American,75-84 years,8.4
"Deaths per 100,000 resident population, crude",2012,Male,Black or African American,75-84 years,12.5
"Deaths per 100,000 resident population, crude",2013,Male,Black or African American,75-84 years,9.1
"Deaths per 100,000 resident population, crude",2014,Male,Black or African American,75-84 years,11
"Deaths per 100,000 resident population, crude",2015,Male,Black or African American,75-84 years,11.2
"Deaths per 100,000 resident population, crude",2016,Male,Black or African American,75-84 years,10.6
"Deaths per 100,000 resident population, crude",2017,Male,Black or African American,75-84 years,8.8
"Deaths per 100,000 resident population, crude",2018,Male,Black or African American,75-84 years,10.7
"Deaths per 100,000 resident population, crude",1980,Male,American Indian or Alaska Native,15-24 years,45.3
"Deaths per 100,000 resident population, crude",1985,Male,American Indian or Alaska Native,15-24 years,42
"Deaths per 100,000 resident population, crude",1988,Male,American Indian or Alaska Native,15-24 years,41.8
"Deaths per 100,000 resident population, crude",1989,Male,American Indian or Alaska Native,15-24 years,43.7
"Deaths per 100,000 resident population, crude",1990,Male,American Indian or Alaska Native,15-24 years,49.1
"Deaths per 100,000 resident population, crude",1991,Male,American Indian or Alaska Native,15-24 years,37.1
"Deaths per 100,000 resident population, crude",1992,Male,American Indian or Alaska Native,15-24 years,39.1
"Deaths per 100,000 resident population, crude",1993,Male,American Indian or Alaska Native,15-24 years,29.7
"Deaths per 100,000 resident population, crude",1994,Male,American Indian or Alaska Native,15-24 years,42.1
"Deaths per 100,000 resident population, crude",1995,Male,American Indian or Alaska Native,15-24 years,30.8
"Deaths per 100,000 resident population, crude",1996,Male,American Indian or Alaska Native,15-24 years,28.9
"Deaths per 100,000 resident population, crude",1997,Male,American Indian or Alaska Native,15-24 years,33.8
"Deaths per 100,000 resident population, crude",1998,Male,American Indian or Alaska Native,15-24 years,36
"Deaths per 100,000 resident population, crude",1999,Male,American Indian or Alaska Native,15-24 years,30.8
"Deaths per 100,000 resident population, crude",2000,Male,American Indian or Alaska Native,15-24 years,26.2
"Deaths per 100,000 resident population, crude",2001,Male,American Indian or Alaska Native,15-24 years,23.8
"Deaths per 100,000 resident population, crude",2002,Male,American Indian or Alaska Native,15-24 years,26.3
"Deaths per 100,000 resident population, crude",2003,Male,American Indian or Alaska Native,15-24 years,25.1
"Deaths per 100,000 resident population, crude",2004,Male,American Indian or Alaska Native,15-24 years,27.6
"Deaths per 100,000 resident population, crude",2005,Male,American Indian or Alaska Native,15-24 years,28.6
"Deaths per 100,000 resident population, crude",2006,Male,American Indian or Alaska Native,15-24 years,30.6
"Deaths per 100,000 resident population, crude",2007,Male,American Indian or Alaska Native,15-24 years,26.8
"Deaths per 100,000 resident population, crude",2008,Male,American Indian or Alaska Native,15-24 years,29
"Deaths per 100,000 resident population, crude",2009,Male,American Indian or Alaska Native,15-24 years,28.9
"Deaths per 100,000 resident population, crude",2010,Male,American Indian or Alaska Native,15-24 years,30.6
"Deaths per 100,000 resident population, crude",2011,Male,American Indian or Alaska Native,15-24 years,27.6
"Deaths per 100,000 resident population, crude",2012,Male,American Indian or Alaska Native,15-24 years,29.3
"Deaths per 100,000 resident population, crude",2013,Male,American Indian or Alaska Native,15-24 years,29.1
"Deaths per 100,000 resident population, crude",2014,Male,American Indian or Alaska Native,15-24 years,23.5
"Deaths per 100,000 resident population, crude",2015,Male,American Indian or Alaska Native,15-24 years,29.5
"Deaths per 100,000 resident population, crude",2016,Male,American Indian or Alaska Native,15-24 years,32.6
"Deaths per 100,000 resident population, crude",2017,Male,American Indian or Alaska Native,15-24 years,32.9
"Deaths per 100,000 resident population, crude",2018,Male,American Indian or Alaska Native,15-24 years,36.2
"Deaths per 100,000 resident population, crude",1980,Male,American Indian or Alaska Native,25-44 years,31.2
"Deaths per 100,000 resident population, crude",1985,Male,American Indian or Alaska Native,25-44 years,30.2
"Deaths per 100,000 resident population, crude",1988,Male,American Indian or Alaska Native,25-44 years,27.9
"Deaths per 100,000 resident population, crude",1989,Male,American Indian or Alaska Native,25-44 years,30.6
"Deaths per 100,000 resident population, crude",1990,Male,American Indian or Alaska Native,25-44 years,27.8
"Deaths per 100,000 resident population, crude",1991,Male,American Indian or Alaska Native,25-44 years,26.9
"Deaths per 100,000 resident population, crude",1992,Male,American Indian or Alaska Native,25-44 years,24
"Deaths per 100,000 resident population, crude",1993,Male,American Indian or Alaska Native,25-44 years,29.4
"Deaths per 100,000 resident population, crude",1994,Male,American Indian or Alaska Native,25-44 years,35.8
"Deaths per 100,000 resident population, crude",1995,Male,American Indian or Alaska Native,25-44 years,29.1
"Deaths per 100,000 resident population, crude",1996,Male,American Indian or Alaska Native,25-44 years,31.5
"Deaths per 100,000 resident population, crude",1997,Male,American Indian or Alaska Native,25-44 years,29
"Deaths per 100,000 resident population, crude",1998,Male,American Indian or Alaska Native,25-44 years,28.8
"Deaths per 100,000 resident population, crude",1999,Male,American Indian or Alaska Native,25-44 years,25.1
"Deaths per 100,000 resident population, crude",2000,Male,American Indian or Alaska Native,25-44 years,24.5
"Deaths per 100,000 resident population, crude",2001,Male,American Indian or Alaska Native,25-44 years,27.3
"Deaths per 100,000 resident population, crude",2002,Male,American Indian or Alaska Native,25-44 years,26.2
"Deaths per 100,000 resident population, crude",2003,Male,American Indian or Alaska Native,25-44 years,28.9
"Deaths per 100,000 resident population, crude",2004,Male,American Indian or Alaska Native,25-44 years,29
"Deaths per 100,000 resident population, crude",2005,Male,American Indian or Alaska Native,25-44 years,27
"Deaths per 100,000 resident population, crude",2006,Male,American Indian or Alaska Native,25-44 years,23.3
"Deaths per 100,000 resident population, crude",2007,Male,American Indian or Alaska Native,25-44 years,24.9
"Deaths per 100,000 resident population, crude",2008,Male,American Indian or Alaska Native,25-44 years,22.7
"Deaths per 100,000 resident population, crude",2009,Male,American Indian or Alaska Native,25-44 years,20.4
"Deaths per 100,000 resident population, crude",2010,Male,American Indian or Alaska Native,25-44 years,20.9
"Deaths per 100,000 resident population, crude",2011,Male,American Indian or Alaska Native,25-44 years,24.2
"Deaths per 100,000 resident population, crude",2012,Male,American Indian or Alaska Native,25-44 years,24.3
"Deaths per 100,000 resident population, crude",2013,Male,American Indian or Alaska Native,25-44 years,26.6
"Deaths per 100,000 resident population, crude",2014,Male,American Indian or Alaska Native,25-44 years,26.2
"Deaths per 100,000 resident population, crude",2015,Male,American Indian or Alaska Native,25-44 years,27.3
"Deaths per 100,000 resident population, crude",2016,Male,American Indian or Alaska Native,25-44 years,33.6
"Deaths per 100,000 resident population, crude",2017,Male,American Indian or Alaska Native,25-44 years,32.2
"Deaths per 100,000 resident population, crude",2018,Male,American Indian or Alaska Native,25-44 years,33.9
"Deaths per 100,000 resident population, crude",1988,Male,American Indian or Alaska Native,45-64 years,15.4
"Deaths per 100,000 resident population, crude",1991,Male,American Indian or Alaska Native,45-64 years,16.3
"Deaths per 100,000 resident population, crude",1993,Male,American Indian or Alaska Native,45-64 years,12.2
"Deaths per 100,000 resident population, crude",1994,Male,American Indian or Alaska Native,45-64 years,13.8
"Deaths per 100,000 resident population, crude",1995,Male,American Indian or Alaska Native,45-64 years,13.6
"Deaths per 100,000 resident population, crude",1996,Male,American Indian or Alaska Native,45-64 years,10.3
"Deaths per 100,000 resident population, crude",1997,Male,American Indian or Alaska Native,45-64 years,13.5
"Deaths per 100,000 resident population, crude",1998,Male,American Indian or Alaska Native,45-64 years,9.5
"Deaths per 100,000 resident population, crude",1999,Male,American Indian or Alaska Native,45-64 years,13.2
"Deaths per 100,000 resident population, crude",2000,Male,American Indian or Alaska Native,45-64 years,15.4
"Deaths per 100,000 resident population, crude",2001,Male,American Indian or Alaska Native,45-64 years,17
"Deaths per 100,000 resident population, crude",2002,Male,American Indian or Alaska Native,45-64 years,14
"Deaths per 100,000 resident population, crude",2003,Male,American Indian or Alaska Native,45-64 years,9.2
"Deaths per 100,000 resident population, crude",2004,Male,American Indian or Alaska Native,45-64 years,15.3
"Deaths per 100,000 resident population, crude",2005,Male,American Indian or Alaska Native,45-64 years,15.6
"Deaths per 100,000 resident population, crude",2006,Male,American Indian or Alaska Native,45-64 years,16.5
"Deaths per 100,000 resident population, crude",2007,Male,American Indian or Alaska Native,45-64 years,14.4
"Deaths per 100,000 resident population, crude",2008,Male,American Indian or Alaska Native,45-64 years,11.1
"Deaths per 100,000 resident population, crude",2009,Male,American Indian or Alaska Native,45-64 years,15.4
"Deaths per 100,000 resident population, crude",2010,Male,American Indian or Alaska Native,45-64 years,17.8
"Deaths per 100,000 resident population, crude",2011,Male,American Indian or Alaska Native,45-64 years,14.9
"Deaths per 100,000 resident population, crude",2012,Male,American Indian or Alaska Native,45-64 years,19.1
"Deaths per 100,000 resident population, crude",2013,Male,American Indian or Alaska Native,45-64 years,18.3
"Deaths per 100,000 resident population, crude",2014,Male,American Indian or Alaska Native,45-64 years,15.1
"Deaths per 100,000 resident population, crude",2015,Male,American Indian or Alaska Native,45-64 years,20.8
"Deaths per 100,000 resident population, crude",2016,Male,American Indian or Alaska Native,45-64 years,19.8
"Deaths per 100,000 resident population, crude",2017,Male,American Indian or Alaska Native,45-64 years,19.7
"Deaths per 100,000 resident population, crude",2014,Male,American Indian or Alaska Native,65 years and over,13.4
"Deaths per 100,000 resident population, crude",2015,Male,American Indian or Alaska Native,65 years and over,13.2
"Deaths per 100,000 resident population, crude",2016,Male,American Indian or Alaska Native,65 years and over,11.8
"Deaths per 100,000 resident population, crude",2017,Male,American Indian or Alaska Native,65 years and over,12.2
"Deaths per 100,000 resident population, crude",1980,Male,Asian or Pacific Islander,15-24 years,10.8
"Deaths per 100,000 resident population, crude",1985,Male,Asian or Pacific Islander,15-24 years,14.2
"Deaths per 100,000 resident population, crude",1988,Male,Asian or Pacific Islander,15-24 years,8.5
"Deaths per 100,000 resident population, crude",1989,Male,Asian or Pacific Islander,15-24 years,11.6
"Deaths per 100,000 resident population, crude",1990,Male,Asian or Pacific Islander,15-24 years,13.5
"Deaths per 100,000 resident population, crude",1991,Male,Asian or Pacific Islander,15-24 years,12.7
"Deaths per 100,000 resident population, crude",1992,Male,Asian or Pacific Islander,15-24 years,13.3
"Deaths per 100,000 resident population, crude",1993,Male,Asian or Pacific Islander,15-24 years,11.9
"Deaths per 100,000 resident population, crude",1994,Male,Asian or Pacific Islander,15-24 years,13.9
"Deaths per 100,000 resident population, crude",1995,Male,Asian or Pacific Islander,15-24 years,14.4
"Deaths per 100,000 resident population, crude",1996,Male,Asian or Pacific Islander,15-24 years,10.9
"Deaths per 100,000 resident population, crude",1997,Male,Asian or Pacific Islander,15-24 years,10.9
"Deaths per 100,000 resident population, crude",1998,Male,Asian or Pacific Islander,15-24 years,9.7
"Deaths per 100,000 resident population, crude",1999,Male,Asian or Pacific Islander,15-24 years,9.1
"Deaths per 100,000 resident population, crude",2000,Male,Asian or Pacific Islander,15-24 years,9.1
"Deaths per 100,000 resident population, crude",2001,Male,Asian or Pacific Islander,15-24 years,8.7
"Deaths per 100,000 resident population, crude",2002,Male,Asian or Pacific Islander,15-24 years,8.1
"Deaths per 100,000 resident population, crude",2003,Male,Asian or Pacific Islander,15-24 years,8.4
"Deaths per 100,000 resident population, crude",2004,Male,Asian or Pacific Islander,15-24 years,8.5
"Deaths per 100,000 resident population, crude",2005,Male,Asian or Pacific Islander,15-24 years,6.5
"Deaths per 100,000 resident population, crude",2006,Male,Asian or Pacific Islander,15-24 years,10.6
"Deaths per 100,000 resident population, crude",2007,Male,Asian or Pacific Islander,15-24 years,11.4
"Deaths per 100,000 resident population, crude",2008,Male,Asian or Pacific Islander,15-24 years,7.1
"Deaths per 100,000 resident population, crude",2009,Male,Asian or Pacific Islander,15-24 years,8
"Deaths per 100,000 resident population, crude",2010,Male,Asian or Pacific Islander,15-24 years,10.9
"Deaths per 100,000 resident population, crude",2011,Male,Asian or Pacific Islander,15-24 years,9.6
"Deaths per 100,000 resident population, crude",2012,Male,Asian or Pacific Islander,15-24 years,9.7
"Deaths per 100,000 resident population, crude",2013,Male,Asian or Pacific Islander,15-24 years,11.9
"Deaths per 100,000 resident population, crude",2014,Male,Asian or Pacific Islander,15-24 years,12.9
"Deaths per 100,000 resident population, crude",2015,Male,Asian or Pacific Islander,15-24 years,15.6
"Deaths per 100,000 resident population, crude",2016,Male,Asian or Pacific Islander,15-24 years,16.3
"Deaths per 100,000 resident population, crude",2017,Male,Asian or Pacific Islander,15-24 years,16.5
"Deaths per 100,000 resident population, crude",2018,Male,Asian or Pacific Islander,15-24 years,15.5
"Deaths per 100,000 resident population, crude",1980,Male,Asian or Pacific Islander,25-44 years,11
"Deaths per 100,000 resident population, crude",1985,Male,Asian or Pacific Islander,25-44 years,9.3
"Deaths per 100,000 resident population, crude",1988,Male,Asian or Pacific Islander,25-44 years,10.2
"Deaths per 100,000 resident population, crude",1989,Male,Asian or Pacific Islander,25-44 years,8.6
"Deaths per 100,000 resident population, crude",1990,Male,Asian or Pacific Islander,25-44 years,10.6
"Deaths per 100,000 resident population, crude",1991,Male,Asian or Pacific Islander,25-44 years,9.1
"Deaths per 100,000 resident population, crude",1992,Male,Asian or Pacific Islander,25-44 years,9.7
"Deaths per 100,000 resident population, crude",1993,Male,Asian or Pacific Islander,25-44 years,10.8
"Deaths per 100,000 resident population, crude",1994,Male,Asian or Pacific Islander,25-44 years,12.2
"Deaths per 100,000 resident population, crude",1995,Male,Asian or Pacific Islander,25-44 years,10.8
"Deaths per 100,000 resident population, crude",1996,Male,Asian or Pacific Islander,25-44 years,10.9
"Deaths per 100,000 resident population, crude",1997,Male,Asian or Pacific Islander,25-44 years,9.9
"Deaths per 100,000 resident population, crude",1998,Male,Asian or Pacific Islander,25-44 years,11
"Deaths per 100,000 resident population, crude",1999,Male,Asian or Pacific Islander,25-44 years,10.8
"Deaths per 100,000 resident population, crude",2000,Male,Asian or Pacific Islander,25-44 years,9.9
"Deaths per 100,000 resident population, crude",2001,Male,Asian or Pacific Islander,25-44 years,9.2
"Deaths per 100,000 resident population, crude",2002,Male,Asian or Pacific Islander,25-44 years,9.3
"Deaths per 100,000 resident population, crude",2003,Male,Asian or Pacific Islander,25-44 years,9.3
"Deaths per 100,000 resident population, crude",2004,Male,Asian or Pacific Islander,25-44 years,8.5
"Deaths per 100,000 resident population, crude",2005,Male,Asian or Pacific Islander,25-44 years,9.6
"Deaths per 100,000 resident population, crude",2006,Male,Asian or Pacific Islander,25-44 years,9.3
"Deaths per 100,000 resident population, crude",2007,Male,Asian or Pacific Islander,25-44 years,9.7
"Deaths per 100,000 resident population, crude",2008,Male,Asian or Pacific Islander,25-44 years,8.5
"Deaths per 100,000 resident population, crude",2009,Male,Asian or Pacific Islander,25-44 years,9.7
"Deaths per 100,000 resident population, crude",2010,Male,Asian or Pacific Islander,25-44 years,10.6
"Deaths per 100,000 resident population, crude",2011,Male,Asian or Pacific Islander,25-44 years,10.6
"Deaths per 100,000 resident population, crude",2012,Male,Asian or Pacific Islander,25-44 years,11.8
"Deaths per 100,000 resident population, crude",2013,Male,Asian or Pacific Islander,25-44 years,11.9
"Deaths per 100,000 resident population, crude",2014,Male,Asian or Pacific Islander,25-44 years,9.7
"Deaths per 100,000 resident population, crude",2015,Male,Asian or Pacific Islander,25-44 years,9.6
"Deaths per 100,000 resident population, crude",2016,Male,Asian or Pacific Islander,25-44 years,11.9
"Deaths per 100,000 resident population, crude",2017,Male,Asian or Pacific Islander,25-44 years,11.3
"Deaths per 100,000 resident population, crude",2018,Male,Asian or Pacific Islander,25-44 years,12
"Deaths per 100,000 resident population, crude",1980,Male,Asian or Pacific Islander,45-64 years,13
"Deaths per 100,000 resident population, crude",1985,Male,Asian or Pacific Islander,45-64 years,10.4
"Deaths per 100,000 resident population, crude",1988,Male,Asian or Pacific Islander,45-64 years,9.7
"Deaths per 100,000 resident population, crude",1989,Male,Asian or Pacific Islander,45-64 years,8.9
"Deaths per 100,000 resident population, crude",1990,Male,Asian or Pacific Islander,45-64 years,9.7
"Deaths per 100,000 resident population, crude",1991,Male,Asian or Pacific Islander,45-64 years,12.3
"Deaths per 100,000 resident population, crude",1992,Male,Asian or Pacific Islander,45-64 years,9.1
"Deaths per 100,000 resident population, crude",1993,Male,Asian or Pacific Islander,45-64 years,10.1
"Deaths per 100,000 resident population, crude",1994,Male,Asian or Pacific Islander,45-64 years,8.8
"Deaths per 100,000 resident population, crude",1995,Male,Asian or Pacific Islander,45-64 years,8.7
"Deaths per 100,000 resident population, crude",1996,Male,Asian or Pacific Islander,45-64 years,8.4
"Deaths per 100,000 resident population, crude",1997,Male,Asian or Pacific Islander,45-64 years,11.8
"Deaths per 100,000 resident population, crude",1998,Male,Asian or Pacific Islander,45-64 years,9.8
"Deaths per 100,000 resident population, crude",1999,Male,Asian or Pacific Islander,45-64 years,11.6
"Deaths per 100,000 resident population, crude",2000,Male,Asian or Pacific Islander,45-64 years,9.7
"Deaths per 100,000 resident population, crude",2001,Male,Asian or Pacific Islander,45-64 years,8.1
"Deaths per 100,000 resident population, crude",2002,Male,Asian or Pacific Islander,45-64 years,9.1
"Deaths per 100,000 resident population, crude",2003,Male,Asian or Pacific Islander,45-64 years,10
"Deaths per 100,000 resident population, crude",2004,Male,Asian or Pacific Islander,45-64 years,11.1
"Deaths per 100,000 resident population, crude",2005,Male,Asian or Pacific Islander,45-64 years,8.9
"Deaths per 100,000 resident population, crude",2006,Male,Asian or Pacific Islander,45-64 years,9.7
"Deaths per 100,000 resident population, crude",2007,Male,Asian or Pacific Islander,45-64 years,10.6
"Deaths per 100,000 resident population, crude",2008,Male,Asian or Pacific Islander,45-64 years,10.9
"Deaths per 100,000 resident population, crude",2009,Male,Asian or Pacific Islander,45-64 years,12.1
"Deaths per 100,000 resident population, crude",2010,Male,Asian or Pacific Islander,45-64 years,12.8
"Deaths per 100,000 resident population, crude",2011,Male,Asian or Pacific Islander,45-64 years,11.1
"Deaths per 100,000 resident population, crude",2012,Male,Asian or Pacific Islander,45-64 years,12.3
"Deaths per 100,000 resident population, crude",2013,Male,Asian or Pacific Islander,45-64 years,10.9
"Deaths per 100,000 resident population, crude",2014,Male,Asian or Pacific Islander,45-64 years,12.1
"Deaths per 100,000 resident population, crude",2015,Male,Asian or Pacific Islander,45-64 years,10.9
